symbol,entry_time,onset_time,peak_time,entry_price,peak_price,spike_pct,entry_to_peak_minutes,onset_to_peak_minutes
EGLDTRY,2026-08-17 18:24:59,2026-08-17 18:24:59,2026-08-17 18:39:59,129.5,137.0,5.79151,15.0,15.0
EDENTRY,2026-08-17 18:27:59,2026-08-17 18:20:59,2026-08-17 18:42:59,2.409,2.629,9.13242,15.0,22.0
USUALTRY,2026-08-17 18:27:59,2026-08-17 18:27:59,2026-08-17 18:42:59,0.421,0.498,18.28979,15.0,15.0
BMTTRY,2026-08-17 18:46:59,2026-08-17 18:46:59,2026-08-17 18:58:59,0.742,0.78,5.12129,12.0,12.0
GPSTRY,2026-08-17 19:00:59,2026-08-17 19:05:59,2026-08-17 19:15:59,0.752,0.792,5.31915,15.0,10.0
HEMITRY,2026-08-17 19:05:59,2026-08-17 19:06:59,2026-08-17 19:14:59,0.3223,0.339,5.18151,9.0,8.0
COMPTRY,2026-08-17 19:11:59,2026-08-17 19:19:59,2026-08-17 19:26:59,795.0,868.0,9.18239,15.0,7.0
BMTTRY,2026-08-17 19:13:59,2026-08-17 19:06:59,2026-08-17 19:22:59,0.768,0.815,6.11979,9.0,16.0
HEMITRY,2026-08-17 19:29:59,2026-08-17 19:32:59,2026-08-17 19:44:59,0.3291,0.3493,6.13795,15.0,12.0
GIGGLETRY,2026-08-17 19:48:59,2026-08-17 19:48:59,2026-08-17 20:03:59,1657.0,1750.0,5.61255,15.0,15.0
TSTTRY,2026-08-17 19:51:59,2026-08-17 19:51:59,2026-08-17 20:06:59,0.747,0.786,5.22088,15.0,15.0
ACETRY,2026-08-17 19:58:59,2026-08-17 19:59:59,2026-08-17 20:13:59,8.309,8.74,5.18715,15.0,14.0
BMTTRY,2026-08-17 19:58:59,2026-08-17 19:58:59,2026-08-17 20:10:59,0.753,0.791,5.04648,12.0,12.0
POLTRY,2026-08-17 19:59:59,2026-08-17 19:59:59,2026-08-17 20:14:59,3.723,4.0,7.44024,15.0,15.0
COMPTRY,2026-08-17 20:08:59,2026-08-17 20:08:59,2026-08-17 20:23:59,805.0,884.0,9.81366,15.0,15.0
