[START] strategy=BB_MFI_MEAN_REVERSION initial=10000.00 TRY window=2026-08-10T00:24:02+00:00..2026-08-10T21:24:02+00:00
[ACTIVITY] ACXTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 7253036.8, "range_15m_pct": 1.286, "atr_pct": 0.2499, "volume_ratio": 0.0, "spread_pct": 0.6692, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": false, "spread": false}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] ADATRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 37831656.99, "range_15m_pct": 0.4435, "atr_pct": 0.1657, "volume_ratio": 0.0121, "spread_pct": 0.1107, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": false, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] AEROTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 3204380.06, "range_15m_pct": 0.0, "atr_pct": 0.0216, "volume_ratio": 0.0, "spread_pct": 0.151, "checks": {"quote_volume": true, "range_15m": false, "atr": false, "volume_ratio": false, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] AEVOTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 7217486.71, "range_15m_pct": 0.6135, "atr_pct": 0.1452, "volume_ratio": 1.3086, "spread_pct": 0.102, "checks": {"quote_volume": true, "range_15m": true, "atr": false, "volume_ratio": true, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] AIGENSYNTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 19840163.48, "range_15m_pct": 0.3899, "atr_pct": 0.2011, "volume_ratio": 0.144, "spread_pct": 0.097, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": false, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] AITRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 12527592.97, "range_15m_pct": 0.0, "atr_pct": 0.084, "volume_ratio": 0.0, "spread_pct": 1.1834, "checks": {"quote_volume": true, "range_15m": false, "atr": false, "volume_ratio": false, "spread": false}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] AIXBTTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 9830152.53, "range_15m_pct": 0.0, "atr_pct": 0.0728, "volume_ratio": 0.0, "spread_pct": 0.3376, "checks": {"quote_volume": true, "range_15m": false, "atr": false, "volume_ratio": false, "spread": false}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] ALGOTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 5260985.09, "range_15m_pct": 0.1529, "atr_pct": 0.0309, "volume_ratio": 0.0, "spread_pct": 0.0762, "checks": {"quote_volume": true, "range_15m": true, "atr": false, "volume_ratio": false, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] ALICETRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 44878476.07, "range_15m_pct": 0.346, "atr_pct": 0.0616, "volume_ratio": 31.4117, "spread_pct": 0.1723, "checks": {"quote_volume": true, "range_15m": true, "atr": false, "volume_ratio": true, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] ALLOTRY status=ACTIVE metrics={"status": "ACTIVE", "quote_volume": 85932400.2, "range_15m_pct": 0.4068, "atr_pct": 0.2604, "volume_ratio": 2.9003, "spread_pct": 0.0672, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": true, "spread": true}, "reason": "active"}
